"","carat","cut","color","clarity","depth","table","price","x","y","z","volume","PA","CA","VA"
"113",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87,145.895904,0,0,0
"114",0.74,"Very Good","G","SI1",62.2,59,2762,5.73,5.82,3.59,119.721474,0,0,0
"115",0.73,"Ideal","F","VS2",62.6,56,2762,5.77,5.74,3.6,119.23128,0,0,0
"116",0.73,"Ideal","F","VS2",62.7,53,2762,5.8,5.75,3.62,120.727,0,0,0
"117",0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68,130.718016,0,0,0
"118",0.71,"Ideal","G","VS2",62.4,54,2762,5.72,5.76,3.58,117.950976,0,0,0
"119",0.7,"Ideal","E","VS2",60.7,58,2762,5.73,5.76,3.49,115.186752,0,0,0
"120",0.8,"Ideal","F","SI2",59.9,59,2762,6.01,6.07,3.62,132.060134,0,0,0
"121",0.71,"Ideal","D","SI2",62.3,56,2762,5.73,5.69,3.56,116.069172,0,0,0
"122",0.74,"Ideal","E","SI1",62.3,54,2762,5.8,5.83,3.62,122.40668,0,0,0
"123",0.7,"Very Good","F","VS2",61.7,63,2762,5.64,5.61,3.47,109.792188,0,0,0
"124",0.7,"Fair","F","VS2",64.5,57,2762,5.57,5.53,3.58,110.271518,0,0,0
"125",0.7,"Fair","F","VS2",65.3,55,2762,5.63,5.58,3.66,114.980364,0,0,0
"126",0.7,"Premium","F","VS2",61.6,60,2762,5.65,5.59,3.46,109.27891,0,0,0
"127",0.91,"Premium","H","SI1",61.4,56,2763,6.09,5.97,3.7,134.52201,0,0,0
"128",0.61,"Very Good","D","VVS2",59.6,57,2763,5.56,5.58,3.32,103.002336,0,0,0
"129",0.91,"Fair","H","SI2",64.4,57,2763,6.11,6.09,3.93,146.234907,0,0,0
"130",0.91,"Fair","H","SI2",65.7,60,2763,6.03,5.99,3.95,142.672815,0,0,0
"131",0.77,"Ideal","H","VS2",62,56,2763,5.89,5.86,3.64,125.636056,0,0,0
"132",0.71,"Very Good","D","SI1",63.6,58,2764,5.64,5.68,3.6,115.32672,0,0,0
"133",0.71,"Ideal","D","SI1",61.9,59,2764,5.69,5.72,3.53,114.890204,0,0,0
"134",0.7,"Very Good","E","VS2",62.6,60,2765,5.62,5.65,3.53,112.08809,0,0,0
"135",0.77,"Very Good","H","VS1",61.3,60,2765,5.88,5.9,3.61,125.23812,0,0,0
"136",0.63,"Premium","E","VVS1",60.9,60,2765,5.52,5.55,3.37,103.24332,0,0,0
"137",0.71,"Very Good","F","VS1",60.1,62,2765,5.74,5.77,3.46,114.594508,0,0,0
"138",0.71,"Premium","F","VS1",61.8,59,2765,5.69,5.73,3.53,115.091061,0,0,0
"139",0.76,"Ideal","H","SI1",61.2,57,2765,5.88,5.91,3.61,125.450388,0,0,0
"140",0.64,"Ideal","G","VVS1",61.9,56,2766,5.53,5.56,3.43,105.461524,0,0,0
"141",0.71,"Premium","G","VS2",60.9,57,2766,5.78,5.75,3.51,116.65485,0,0,0
"142",0.71,"Premium","G","VS2",59.8,56,2766,5.89,5.81,3.5,119.77315,0,0,0
"143",0.7,"Very Good","D","VS2",61.8,55,2767,5.68,5.72,3.52,114.363392,0,0,0
"144",0.7,"Very Good","F","VS1",60,57,2767,5.8,5.87,3.5,119.161,0,0,0
"145",0.71,"Ideal","D","SI2",61.6,55,2767,5.74,5.76,3.54,117.040896,0,0,0
"146",0.7,"Good","H","VVS2",62.1,64,2767,5.62,5.65,3.5,111.1355,0,0,0
"147",0.71,"Very Good","G","VS1",63.3,59,2768,5.52,5.61,3.52,109.004544,0,0,0
"148",0.73,"Very Good","D","SI1",60.2,56,2768,5.83,5.87,3.52,120.461792,0,0,0
"149",0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48,112.862664,0,0,0
"150",0.7,"Ideal","E","SI1",60.9,57,2768,5.73,5.76,3.5,115.5168,0,0,0
"151",0.71,"Premium","D","SI2",61.7,59,2768,5.71,5.67,3.51,113.638707,0,0,0
"152",0.74,"Ideal","I","SI1",61.3,56,2769,5.82,5.86,3.57,121.755564,0,0,0
"153",0.71,"Premium","D","VS2",62.5,60,2770,5.65,5.61,3.52,111.57168,0,0,0
"154",0.73,"Premium","G","VS2",61.4,59,2770,5.83,5.76,3.56,119.547648,0,0,0
"155",0.76,"Very Good","F","SI1",62.9,57,2770,5.79,5.81,3.65,122.785635,0,0,0
"156",0.76,"Ideal","D","SI2",62.4,57,2770,5.78,5.83,3.62,121.984588,0,0,0
"157",0.71,"Ideal","F","SI1",60.7,56,2770,5.77,5.8,3.51,117.46566,0,0,0
"158",0.73,"Premium","G","VS2",60.7,58,2770,5.87,5.82,3.55,121.28007,0,0,0
"159",0.73,"Premium","G","VS1",61.5,58,2770,5.79,5.75,3.55,118.188375,0,0,0
"160",0.73,"Ideal","D","SI2",59.9,57,2770,5.92,5.89,3.54,123.435552,0,0,0
"161",0.73,"Premium","G","VS2",59.2,59,2770,5.92,5.87,3.49,121.278896,0,0,0
"162",0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51,118.891773,0,0,0
"163",0.73,"Very Good","F","SI1",61.7,60,2771,5.79,5.82,3.58,120.638124,0,0,0
"164",0.71,"Ideal","G","VS2",61.9,57,2771,5.73,5.77,3.56,117.701076,0,0,0
"165",0.79,"Ideal","F","SI2",61.9,55,2771,5.97,5.92,3.68,130.060032,0,0,0
"166",0.73,"Very Good","H","VVS1",60.4,59,2772,5.83,5.89,3.54,121.558998,0,0,0
"167",0.8,"Very Good","F","SI2",61,57,2772,6.01,6.03,3.67,133.001901,0,0,0
"168",0.58,"Ideal","G","VVS1",61.5,55,2772,5.39,5.44,3.33,97.640928,0,0,0
"169",0.58,"Ideal","F","VVS1",61.7,56,2772,5.33,5.37,3.3,94.45293,0,0,0
"170",0.71,"Good","E","VS2",59.2,61,2772,5.8,5.88,3.46,117.99984,0,0,0
"171",0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6,124.0434,0,0,0
"172",0.7,"Premium","D","VS2",58,62,2773,5.87,5.78,3.38,114.678668,0,0,0
"173",1.17,"Very Good","J","I1",60.2,61,2774,6.83,6.9,4.13,194.63451,0,1,1
"174",0.6,"Ideal","E","VS1",61.7,55,2774,5.41,5.44,3.35,98.59184,0,0,0
"175",0.7,"Ideal","E","SI1",62.7,55,2774,5.68,5.74,3.58,116.719456,0,0,0
"176",0.83,"Good","I","VS2",64.6,54,2774,5.85,5.88,3.79,130.36842,0,0,0
"177",0.74,"Very Good","F","VS2",61.3,61,2775,5.8,5.84,3.57,120.92304,0,0,0
"178",0.72,"Very Good","G","VS2",63.7,56.4,2776,5.62,5.69,3.61,115.439858,0,0,0
"179",0.71,"Premium","E","VS2",62.7,58,2776,5.74,5.68,3.58,116.719456,0,0,0
"180",0.71,"Ideal","E","VS2",62.2,57,2776,5.79,5.62,3.55,115.51629,0,0,0
"181",0.54,"Ideal","E","VVS2",61.6,56,2776,5.25,5.27,3.24,89.6427,0,0,0
"182",0.54,"Ideal","E","VVS2",61.5,57,2776,5.24,5.26,3.23,89.026552,0,0,0
"183",0.72,"Ideal","G","SI1",61.8,56,2776,5.72,5.75,3.55,116.7595,0,0,0
"184",0.72,"Ideal","G","SI1",60.7,56,2776,5.79,5.82,3.53,118.953234,0,0,0
"185",0.72,"Good","G","VS2",59.7,60.5,2776,5.8,5.84,3.47,117.53584,0,0,0
"186",0.71,"Ideal","G","SI1",60.5,56,2776,5.8,5.76,3.5,116.928,0,0,0
"187",0.7,"Very Good","D","VS1",62.7,58,2777,5.66,5.73,3.57,115.781526,0,0,0
"188",0.71,"Premium","F","VS2",62.1,58,2777,5.67,5.7,3.53,114.08607,0,0,0
"189",0.71,"Very Good","F","VS2",62.8,57,2777,5.64,5.69,3.56,114.246096,0,0,0
"190",0.71,"Good","F","VS2",63.8,58,2777,5.61,5.64,3.59,113.589036,0,0,0
"191",0.71,"Good","F","VS2",57.8,60,2777,5.87,5.9,3.4,117.7522,0,0,0
"192",0.7,"Ideal","E","VS2",62.1,55,2777,5.7,5.67,3.53,114.08607,0,0,0
"193",0.7,"Premium","E","VS2",61.1,60,2777,5.71,5.64,3.47,111.749268,0,0,0
"194",0.7,"Premium","E","SI1",60,59,2777,5.79,5.75,3.46,115.19205,0,0,0
"195",0.7,"Premium","E","SI1",61.2,57,2777,5.73,5.68,3.49,113.586936,0,0,0
"196",0.7,"Premium","E","SI1",62.7,59,2777,5.67,5.63,3.54,113.004234,0,0,0
"197",0.7,"Premium","E","SI1",61,57,2777,5.73,5.68,3.48,113.261472,0,0,0
"198",0.7,"Premium","E","SI1",61,58,2777,5.78,5.72,3.51,116.046216,0,0,0
"199",0.7,"Ideal","E","SI1",61.4,57,2777,5.76,5.7,3.52,115.56864,0,0,0
"200",0.72,"Premium","F","SI1",61.8,61,2777,5.82,5.71,3.56,118.306632,0,0,0
"201",0.7,"Very Good","E","SI1",59.9,63,2777,5.76,5.7,3.43,112.61376,0,0,0
"202",0.7,"Premium","E","SI1",61.3,58,2777,5.71,5.68,3.49,113.190472,0,0,0
"203",0.7,"Premium","E","SI1",60.5,58,2777,5.77,5.74,3.48,115.256904,0,0,0
"204",0.7,"Good","E","VS2",64.1,59,2777,5.64,5.59,3.6,113.49936,0,0,0
"205",0.98,"Fair","H","SI2",67.9,60,2777,6.05,5.97,4.08,147.36348,0,0,0
"206",0.78,"Premium","F","SI1",62.4,58,2777,5.83,5.8,3.63,122.74482,0,0,0
"207",0.7,"Very Good","E","SI1",63.2,60,2777,5.6,5.51,3.51,108.30456,0,0,0
"208",0.52,"Ideal","F","VVS1",61.3,55,2778,5.19,5.22,3.19,86.422842,0,0,0
"209",0.73,"Very Good","H","VS2",60.8,56,2779,5.82,5.84,3.55,120.66024,0,0,0
"210",0.74,"Ideal","E","SI1",61.7,56,2779,5.84,5.8,3.59,121.60048,0,0,0
"211",0.7,"Very Good","F","VS2",63.6,57,2780,5.61,5.65,3.58,113.47347,0,0,0
"212",0.77,"Premium","G","VS2",61.2,58,2780,5.9,5.93,3.62,126.65294,0,0,0
"213",0.71,"Ideal","F","VS2",62.1,54,2780,5.68,5.72,3.54,115.013184,0,0,0
"214",0.74,"Ideal","G","VS1",61.5,55,2780,5.81,5.86,3.59,122.227294,0,0,0
"215",0.7,"Ideal","G","VS1",61.4,59,2780,5.64,5.73,3.49,112.787028,0,0,0
"216",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94,160.123176,0,0,0
"217",0.77,"Ideal","H","SI1",62.2,56,2781,5.83,5.88,3.64,124.780656,0,0,0
"218",0.78,"Ideal","H","SI1",61.2,56,2781,5.92,5.99,3.64,129.077312,0,0,0
"219",0.72,"Very Good","H","VS1",60.6,63,2782,5.83,5.76,3.51,117.868608,0,0,0
"220",0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08,88.321464,0,0,0
"221",0.76,"Ideal","G","VS2",61.3,56,2782,5.9,5.94,3.63,127.21698,0,0,0
"222",0.7,"Good","E","VS1",57.2,62,2782,5.81,5.77,3.31,110.963447,0,0,0
"223",0.7,"Premium","E","VS1",62.9,60,2782,5.62,5.54,3.51,109.283148,0,0,0
"224",0.75,"Very Good","D","SI2",63.1,58,2782,5.78,5.73,3.63,120.223422,0,0,0
"225",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5,115.92,0,0,0
"226",0.72,"Premium","D","SI1",62.7,59,2782,5.73,5.69,3.58,116.721246,0,0,0
"227",0.7,"Premium","D","SI1",62.8,60,2782,5.68,5.66,3.56,114.449728,0,0,0
"228",0.84,"Fair","G","SI1",55.1,67,2782,6.39,6.2,3.47,137.47446,0,0,0
"229",0.75,"Premium","F","SI1",61.4,59,2782,5.88,5.85,3.6,123.8328,0,0,0
"230",0.52,"Ideal","F","IF",62.2,55,2783,5.14,5.18,3.21,85.466892,0,0,0
"231",0.72,"Very Good","F","VS2",63,54,2784,5.69,5.73,3.6,117.37332,0,0,0
"232",0.79,"Very Good","H","VS1",63.7,56,2784,5.85,5.92,3.75,129.87,0,0,0
"233",0.72,"Very Good","F","VS2",63.6,58,2787,5.66,5.69,3.61,116.261494,0,0,0
"234",0.51,"Ideal","F","VVS1",62,57,2787,5.11,5.15,3.18,83.68647,0,0,0
"235",0.64,"Ideal","D","VS1",61.5,56,2787,5.54,5.55,3.41,104.84727,0,0,0
"236",0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48,115.256904,0,0,0
"237",0.83,"Very Good","I","VS1",61.1,60,2788,6.07,6.1,3.72,137.74044,0,0,0
"238",0.76,"Ideal","I","VVS2",61.8,56,2788,5.85,5.87,3.62,124.30899,0,0,0
"239",0.71,"Good","D","VS2",63.3,56,2788,5.64,5.68,3.58,114.686016,0,0,0
"240",0.77,"Good","G","VS1",59.4,64,2788,5.97,5.92,3.53,124.758672,0,0,0
"241",0.71,"Ideal","F","SI1",62.5,55,2788,5.71,5.65,3.55,114.528325,0,0,0
"242",1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03,157.415427,0,0,0
"243",1.01,"Premium","H","SI2",62.7,59,2788,6.31,6.22,3.93,154.245426,0,0,0
"244",0.77,"Good","F","SI1",64.2,52,2789,5.81,5.77,3.72,124.708164,0,0,0
"245",0.76,"Good","E","SI1",63.7,54,2789,5.76,5.85,3.7,124.6752,0,0,0
"246",0.76,"Premium","E","SI1",60.4,58,2789,5.92,5.94,3.58,125.889984,0,0,0
"247",0.76,"Premium","E","SI1",61.8,58,2789,5.82,5.86,3.61,123.119772,0,0,0
"248",1.05,"Very Good","J","SI2",63.2,56,2789,6.49,6.45,4.09,171.209445,0,1,1
"249",0.81,"Ideal","G","SI2",61.6,56,2789,5.97,6.01,3.69,132.396093,0,0,0
"250",0.7,"Ideal","E","SI1",61.6,56,2789,5.72,5.75,3.53,116.1017,0,0,0
"251",0.55,"Ideal","G","IF",60.9,57,2789,5.28,5.3,3.22,90.10848,0,0,0
"252",0.81,"Good","G","SI2",61,61,2789,5.94,5.99,3.64,129.513384,0,0,0
"253",0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38,100.206184,0,0,0
"254",0.63,"Premium","E","VVS1",60.9,60,2789,5.55,5.52,3.37,103.24332,0,0,0
"255",0.77,"Premium","H","VS1",61.3,60,2789,5.9,5.88,3.61,125.23812,0,0,0
"256",1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18,167.997126,0,1,0
"257",0.64,"Ideal","G","IF",61.3,56,2790,5.54,5.58,3.41,105.414012,0,0,0
"258",0.76,"Premium","I","VVS1",58.8,59,2790,6,5.94,3.51,125.0964,0,0,0
"259",0.83,"Ideal","F","SI2",62.3,55,2790,6.02,6.05,3.76,136.94296,0,0,0
"260",0.71,"Premium","F","VS1",60.1,62,2790,5.77,5.74,3.46,114.594508,0,0,0
"261",0.71,"Premium","F","VS1",61.8,59,2790,5.73,5.69,3.53,115.091061,0,0,0
"262",0.87,"Very Good","I","SI1",63.6,55.8,2791,6.07,6.1,3.87,143.29449,0,0,0
"263",0.73,"Ideal","E","SI1",62.2,56,2791,5.74,5.78,3.58,118.774376,0,0,0
"264",0.71,"Premium","E","SI1",59.2,59,2792,5.83,5.86,3.46,118.206748,0,0,0
"265",0.71,"Premium","E","SI1",61.8,59,2792,5.7,5.75,3.54,116.0235,0,0,0
"266",0.71,"Ideal","E","SI1",61.3,55,2792,5.72,5.77,3.52,116.175488,0,0,0
"267",0.7,"Premium","F","VS1",62.1,60,2792,5.71,5.65,3.53,113.883095,0,0,0
"268",0.7,"Premium","F","VS1",60.7,60,2792,5.78,5.75,3.5,116.3225,0,0,0
"269",0.76,"Premium","H","VVS2",59.6,57,2792,5.91,5.86,3.51,121.560426,0,0,0
"270",0.7,"Ideal","F","VS1",62.2,56,2792,5.73,5.68,3.55,115.53972,0,0,0
"271",0.79,"Very Good","G","SI1",60.6,57,2793,5.98,6.06,3.65,132.27162,0,0,0
"272",0.7,"Very Good","E","VS2",62.9,57,2793,5.66,5.69,3.57,114.973278,0,0,0
"273",0.7,"Good","E","VS2",64.1,55,2793,5.6,5.66,3.61,114.42256,0,0,0
"274",0.76,"Ideal","I","VS2",61.3,56,2793,5.87,5.91,3.61,125.237037,0,0,0
"275",0.73,"Ideal","H","VS2",62.7,55,2793,5.72,5.76,3.6,118.60992,0,0,0
"276",0.79,"Very Good","E","SI1",63.2,56,2794,5.91,5.86,3.72,128.833272,0,0,0
"277",0.71,"Very Good","E","VS2",60.7,56,2795,5.81,5.82,3.53,119.364126,0,0,0
"278",0.81,"Premium","I","VVS2",61.9,60,2795,5.91,5.86,3.64,126.062664,0,0,0
